repo_id,repo_name,org_id,org_login,repo_language,repo_license
21700699,vsouza/awesome-ios,0,,Swift,MIT License
22458259,Alamofire/Alamofire,7774181,Alamofire,Swift,MIT License
109343098,serhii-londar/open-source-mac-os-apps,0,,Swift,Creative Commons Zero v1.0 Universal
29887499,dkhamsing/open-source-ios-apps,0,,Swift,MIT License
76838017,iina/iina,35151645,iina,Swift,GNU General Public License v3.0
60844036,shadowsocks/ShadowsocksX-NG,3006190,shadowsocks,Swift,GNU General Public License v3.0
50447720,kodecocodes/swift-algorithm-club,4722515,kodecocodes,Swift,MIT License
32578467,danielgindi/Charts,0,,Swift,Apache License 2.0
70198664,airbnb/lottie-ios,698437,airbnb,Swift,Apache License 2.0
33569135,ReactiveX/RxSwift,6407041,ReactiveX,Swift,Other
21696302,matteocrippa/awesome-swift,0,,Swift,Creative Commons Zero v1.0 Universal
49910095,vapor/vapor,17364220,vapor,Swift,MIT License
137154114,yichengchen/clashX,0,,Swift,GNU Affero General Public License v3.0
20965586,SwiftyJSON/SwiftyJSON,8858017,SwiftyJSON,Swift,MIT License
74697963,HeroTransitions/Hero,40681391,HeroTransitions,Swift,MIT License
33486016,onevcat/Kingfisher,0,,Swift,MIT License
44998092,JohnCoates/Aerial,0,,Swift,MIT License
3606624,ReactiveCocoa/ReactiveCocoa,3422977,ReactiveCocoa,Swift,Other
103784142,MonitorControl/MonitorControl,66435613,MonitorControl,Swift,MIT License
193162629,rxhanson/Rectangle,0,,Swift,Other
