repo_id,repo_name,org_id,org_login,repo_language,repo_license
13491895,EbookFoundation/free-programming-books,14127308,EbookFoundation,other,Other
60493101,jwasham/coding-interview-university,0,,other,Creative Commons Attribution Share Alike 4.0 International
132750724,codecrafters-io/build-your-own-x,58904235,codecrafters-io,other,
14440270,getify/You-Dont-Know-JS,0,,other,Other
31792824,flutter/flutter,14101776,flutter,other,"BSD 3-Clause ""New"" or ""Revised"" License"
1062897,github/gitignore,9919,github,other,Creative Commons Zero v1.0 Universal
19415064,ossu/computer-science,14957346,ossu,other,MIT License
35955666,jlevy/the-art-of-command-line,0,,other,
241576270,labuladong/fucking-algorithm,0,,other,
14098069,justjavac/free-programming-books-zh_CN,0,,other,GNU General Public License v3.0
138393139,trimstray/the-book-of-secret-knowledge,0,,other,MIT License
88011908,practical-tutorials/project-based-learning,89421154,practical-tutorials,other,MIT License
88464704,PanJiaChen/vue-element-admin,0,,other,MIT License
2561582,animate-css/animate.css,64791939,animate-css,other,Other
1863329,laravel/laravel,958072,laravel,other,
44571718,vuejs/awesome-vue,6128107,vuejs,other,MIT License
26500787,tonsky/FiraCode,0,,other,SIL Open Font License 1.1
101296881,mtdvio/every-programmer-should-know,33053074,mtdvio,other,Creative Commons Attribution 4.0 International
32484381,ripienaar/free-for-dev,0,,other,
107111421,thedaviddias/Front-End-Checklist,0,,other,Creative Commons Zero v1.0 Universal
172562475,florinpop17/app-ideas,0,,other,MIT License
16408992,neovim/neovim,6471485,neovim,other,Other
55076063,Hack-with-Github/Awesome-Hacking,18143746,Hack-with-Github,other,Creative Commons Zero v1.0 Universal
128398636,xingshaocheng/architect-awesome,0,,other,
3402537,h5bp/Front-end-Developer-Interview-Questions,1136800,h5bp,other,MIT License
7600409,shadowsocks/shadowsocks-windows,3006190,shadowsocks,other,Other
120538304,kelseyhightower/nocode,0,,other,Apache License 2.0
18408635,chrislgarry/Apollo-11,0,,other,Other
22670857,enaqx/awesome-react,0,,other,
67274736,ElemeFE/element,12810740,ElemeFE,other,MIT License
26898879,awesomedata/awesome-public-datasets,35111974,awesomedata,other,MIT License
8514,rails/rails,4223,rails,other,MIT License
191529732,lydiahallie/javascript-questions,0,,other,MIT License
83999700,sdmg15/Best-websites-a-programmer-should-visit,0,,other,MIT License
1700621,necolas/normalize.css,0,,other,MIT License
203587744,hoppscotch/hoppscotch,56705483,hoppscotch,other,MIT License
47018239,DopplerHQ/awesome-interview-questions,34022344,DopplerHQ,other,
21737266,sindresorhus/awesome-nodejs,0,,other,Creative Commons Zero v1.0 Universal
71583602,Developer-Y/cs-video-courses,0,,other,
24953448,google/material-design-icons,1342004,google,other,Apache License 2.0
261787758,bradtraversy/design-resources-for-developers,0,,other,MIT License
44882201,MunGell/awesome-for-beginners,0,,other,
50264296,jgthms/bulma,0,,other,MIT License
65252,jekyll/jekyll,3083652,jekyll,other,MIT License
90528830,Solido/awesome-flutter,0,,other,
3482588,danielmiessler/SecLists,0,,other,MIT License
26689598,prakhar1989/awesome-courses,0,,other,
28428729,wasabeef/awesome-android-ui,0,,other,MIT License
3432266,JetBrains/kotlin,878437,JetBrains,other,
5152285,square/okhttp,82592,square,other,Apache License 2.0
343965132,microsoft/ML-For-Beginners,6154722,microsoft,other,MIT License
98029592,ziishaned/learn-regex,0,,other,MIT License
21935031,fffaraz/awesome-cpp,0,,other,Other
45986162,aymericdamien/TensorFlow-Examples,0,,other,Other
51148780,android/architecture-samples,32689599,android,other,Apache License 2.0
115478820,binhnguyennus/awesome-scalability,0,,other,MIT License
1644196,JuliaLang/julia,743164,JuliaLang,other,Other
11177928,karan/Projects,0,,other,MIT License
22119721,k88hudson/git-flight-rules,0,,other,Creative Commons Attribution Share Alike 4.0 International
27574418,ryanoasis/nerd-fonts,0,,other,Other
77189043,bailicangdu/vue2-elm,0,,other,GNU General Public License v2.0
68957920,justjavac/awesome-wechat-weapp,0,,other,GNU General Public License v3.0
52281283,mastodon/mastodon,24979032,mastodon,other,GNU Affero General Public License v3.0
139824423,Avik-Jain/100-Days-Of-ML-Code,0,,other,MIT License
523379232,CompVis/stable-diffusion,30233788,CompVis,other,Other
18708860,tiimgreen/github-cheat-sheet,0,,other,MIT License
8681349,huginn/huginn,23225142,huginn,other,MIT License
357728969,oven-sh/bun,108928776,oven-sh,other,
7569578,discourse/discourse,3220138,discourse,other,Other
65388917,jakevdp/PythonDataScienceHandbook,0,,other,Other
102969245,golang-standards/project-layout,31396365,golang-standards,other,Other
153697551,Fndroid/clash_for_windows_pkg,0,,other,
49609581,PowerShell/PowerShell,11524380,PowerShell,other,MIT License
69629434,FreeCodeCampChina/freecodecamp.cn,18478284,FreeCodeCampChina,other,Other
10865436,dypsilon/frontend-dev-bookmarks,0,,other,
27442967,fastlane/fastlane,11098337,fastlane,other,MIT License
56969116,ngosang/trackerslist,0,,other,GNU General Public License v2.0
14194174,alex/what-happens-when,0,,other,
54544023,Alvin9999/new-pac,0,,other,
82227585,kamranahmedse/design-patterns-for-humans,0,,other,
199570071,2dust/v2rayN,0,,other,GNU General Public License v3.0
12820537,slatedocs/slate,54482270,slatedocs,other,Apache License 2.0
21648001,akullpp/awesome-java,0,,other,Other
17165658,apache/spark,47359,apache,other,Apache License 2.0
53238813,Homebrew/brew,1503512,Homebrew,other,"BSD 2-Clause ""Simplified"" License"
61893399,brillout/awesome-react-components,0,,other,Creative Commons Zero v1.0 Universal
26783295,Kong/kong,962416,Kong,other,Other
62812261,kelseyhightower/kubernetes-the-hard-way,0,,other,Other
1828795,AFNetworking/AFNetworking,1181541,AFNetworking,other,MIT License
108761645,nocodb/nocodb,50206778,nocodb,other,GNU Affero General Public License v3.0
7190986,shadowsocks/shadowsocks-android,3006190,shadowsocks,other,Other
35969061,google/styleguide,1342004,google,other,Apache License 2.0
119811010,tabler/tabler,35471246,tabler,other,MIT License
29268051,google/material-design-lite,1342004,google,other,Apache License 2.0
156157055,GokuMohandas/MadeWithML,0,,other,MIT License
178092134,formulahendry/955.WLB,0,,other,
