dataset,mse,mae
foundation-sites,0.405,0.37
json-server,2.204,0.911
table,60.076,4.541
babel,0.572,0.556
sheetjs,1.452,0.864
leetcode,43.983,2.615
og-aws,1.272,0.55
gorm,0.919,0.793
okhttp,0.776,0.732
swagger-ui,0.7,0.618
graphql-js,1.782,0.977
awesome-cpp,0.297,0.358
javascript-testing-best-practices,1.356,0.443
ExoPlayer,0.923,0.637
realworld,1.024,0.642
highlight.js,0.407,0.51
rxjs,0.347,0.374
Charts,4.481,1.478
django-rest-framework,3.74,1.34
exa,0.119,0.251
delve,0.4,0.503
nativefier,0.141,0.306
apollo,0.39,0.396
apollo,0.999,0.793
gatsby,0.081,0.211
TrafficMonitor,1.519,0.939
yew,0.492,0.551
redux,0.551,0.555
hacker-laws,0.016,0.073
cli,1.453,0.998
front-end-interview-handbook,10.45,1.636
CppCoreGuidelines,1.123,0.772
ansible,0.483,0.553
fastify,1.383,0.882
nvm-windows,0.333,0.377
libuv,0.752,0.708
leakcanary,0.267,0.363
quill,1.733,1.0
fabric.js,3.577,1.422
flutter,0.245,0.368
Alamofire,0.505,0.477
leveldb,0.409,0.432
spleeter,0.465,0.412
pi-hole,0.962,0.776
popper-core,1.215,0.853
bulma,0.676,0.45
gold-miner,0.034,0.133
cmder,32.278,2.557
Apollo-11,86.878,3.338
coc.nvim,0.686,0.639
openssl,0.245,0.372
DefinitelyTyped,0.383,0.483
awesome-nodejs,0.216,0.22
lapce,2.094,1.225
etcher,9.368,1.358
pandoc,1.366,0.909
viper,2.045,0.834
tesseract.js,40.629,3.365
grpc,0.545,0.585
awesome-ios,1.054,0.496
astro,0.965,0.691
gym,5.197,1.709
public-apis,0.17,0.232
kratos,0.461,0.557
tqdm,0.282,0.345
awesome,1.195,0.719
winston,0.451,0.5
awesome-vscode,0.244,0.268
algorithms,0.23,0.25
vuetify,0.736,0.702
lede,0.268,0.37
generator-jhipster,0.718,0.661
react-redux-links,0.024,0.052
nodebestpractices,0.038,0.141
NLP-progress,0.052,0.148
codemirror5,0.374,0.483
FileSaver.js,1.584,0.767
yolov5,1.223,0.897
