name,score,average_slope,IssueComment,openIssue,openPR,ReviewComment,mergePR
docker_practice,11.504831314086914,0.3609916974615321,0.13397633032791237,0.42882082460965604,0.2555113358946878,0.9333924077488357,0.0532575887265687
logrus,12.10078239440918,0.34399002839227544,1.0072838975263938,0.6833718765621174,0.020926362995874078,2.8865432408364867e-11,0.00836800484812664
kit,12.108697891235352,0.1998970564738567,0.4872259355364166,0.046792341374555,0.27956519812181124,0.0021500177801858666,0.18375178955631483
LeetCode-Go,12.89266586303711,0.35974894297530247,0.6782181071371159,0.30676088497643694,0.3380638490517072,1.615779621975991e-08,0.47570185755345606
vegeta,15.102043151855469,0.5860592614419728,0.37921375894054954,0.8994725414098466,1.6516100068594677,9.425449857700956e-17,0.0
mkcert,15.720872879028319,0.6354785382159617,2.990067657516886,0.12402732229573701,0.06272135391853188,7.035341904581563e-11,0.0005763572782994953
hub,16.22049331665039,0.466300781205437,0.9339472599602724,1.1025202191175623,0.29136726304902916,0.0035208979789439145,0.00014826592137669398
nsq,17.65939712524414,0.8231442605231676,1.4845534175998198,0.9668664683373224,0.7652221142648057,0.11317000824601288,0.7859092941678771
croc,20.78740119934082,0.6963889787469068,0.8315066655127531,1.5784467894373848,0.10273794969740857,0.8758443554533677,0.09340913363362012
faas,33.96099090576172,0.9051188697106445,2.538523618166086,0.5744298422805797,0.787636833882666,0.023275387687083263,0.6017286665368076
dive,34.500389099121094,0.2754060350302476,0.6022581966856384,0.6510618486356348,0.12371012982996482,1.2061505961207573e-18,3.220637746826484e-18
lux,34.574222564697266,0.5928830420977454,1.76178958708701,0.9969498506448911,0.0631132842987818,0.07391835453177212,0.06864413392627233
echo,37.446041107177734,1.4786184587377051,0.9295391867589607,2.209421355362363,2.8020370063160245,0.7478673698984222,0.7042273753527543
influxdb,38.03645133972168,1.3979259274162508,1.8104733329618914,0.7115458984863774,1.609152682480057,1.440419836453662,1.4180378866992651
go-micro,38.899288177490234,0.8900309976447398,1.6073035974155252,0.7869322165957454,1.2923715190766771,0.1130490433851599,0.650498611750591
photoprism,43.68003845214844,1.151806292907413,0.6634196019411918,0.4146993209809352,2.595215485932603,0.25184340977156294,1.8338536459107724
nvm-windows,45.22432327270508,1.0992108394196787,1.9281227307969244,3.3443908218963316,0.1821001830772693,0.0017407693194008529,0.03969969200846733
lazydocker,46.11868858337402,1.1422238864474275,1.7418893636333073,0.6020931041940278,1.9645542791603234,0.7700247343586196,0.6325579508908585
beego,50.28560638427735,0.7634124577526937,0.45267015983086417,1.8516977573229143,1.305831056921174,0.0452056418628694,0.16165767282564697
micro,50.49711227416992,1.680180729513357,3.299400757282105,3.1057970233421415,0.7716602947096814,2.847358915902075e-05,1.2240170986436976
esbuild,58.71931076049805,1.3372551769768268,1.5919927232610627,2.165969282158636,0.7016164523506923,1.1925966283802412,1.0341007987335025
syncthing,58.84140968322754,2.2068854071044077,2.507993949351394,1.3252077898159946,2.6726643888125317,2.630422657655302,1.8981382498868142
delve,61.05974197387696,1.337362422624262,1.8246715699432003,1.4459966068623835,1.3740161171668803,0.2955601262161148,1.7465676929327312
drone,61.72924041748047,1.887623245790849,3.5515639610798124,3.04347711038175,1.5867391392536219,0.2702495093811394,0.9860865088579219
viper,64.96116638183594,1.589644712431611,3.1538623871402263,2.251359326530309,1.979828987594173,4.3980713164544815e-06,0.5631684628220314
frp,66.44798278808594,2.0592026947733766,3.243834812743175,3.776561235154348,1.5027820196183026,0.024623402337489976,1.7482120040135682
fzf,67.35649108886719,2.4956625232595564,2.2598965339492656,3.5231315291813035,2.836158435188777,1.3628287711689833,2.4962973468094525
hugo,67.74028778076172,1.6884321877966457,0.27785698613102117,2.2773233760008513,3.484943332100665,0.5338683152089081,1.868168929541783
cobra,68.17615509033203,2.588793742907436,2.6405654656696544,1.867946255494997,3.318456410543784,3.2787649482482277,1.8382356345805149
awesome-go,71.46875381469727,2.526025172065536,3.3273132856499035,4.475738489106273,3.2300370195577774,0.16598681149478534,1.4310502545189414
kratos,74.42293167114258,2.0933034198453155,2.1906149158402126,2.040946933796857,2.8038256817988874,1.6377181836101373,1.7934113841804826
act,75.12893676757812,2.0875826325358466,1.8572430884070357,2.5398938356884204,2.307327595781073,0.5863192704406979,3.1471293723620057
clash,76.06420516967773,1.8382297410832074,2.764811633044935,3.5855885944371204,1.4718051213125993,0.7581004657127446,0.6108428909086395
fiber,77.06214904785156,4.104611927258172,4.044547860094686,3.705295058891741,4.66690963826534,3.742052361336713,4.36425471770238
kubernetes,77.0721435546875,2.482618210841463,2.033826049627704,2.7606148910657247,2.7648156515636866,2.273763039825494,2.580071422124704
k3s,77.40350723266602,2.446299097585049,3.4110621107338286,2.570278599856445,2.513570405432555,1.145523381582878,2.5910609903195394
minikube,77.49927520751953,2.1517285084518196,2.7654512367822646,2.4584607943909598,2.2950771812522883,1.3161983192081386,1.9234550106254455
prometheus,79.42316055297852,2.2296832968812357,1.0055922680504148,3.6600620345998838,2.488998801003177,1.4329006606308907,2.560862720121811
go-zero,80.39470672607422,3.3624677738145117,4.2629062243224185,4.220769563835749,2.8836092579972084,1.8062726442878727,3.638781178629309
rclone,80.56295394897461,2.204463191450367,1.499993661552925,2.448185932398172,3.368220084778032,1.6569013865025273,2.0490148920201796
helm,80.9019660949707,3.0783887621140122,3.9800591411256305,4.353982044345532,2.807425977633983,2.205138605957304,2.045338041507612
gin,82.0803451538086,2.2582927905109846,2.0584684502336486,3.509067567336888,3.6504452679380175,0.9725898232295521,1.1008928438168177
