repo_id,repo_name,org_id,org_login,repo_language,repo_license,org_type
177736533,996icu/996.ICU,0,,Rust,Other,个人用户
60493101,jwasham/coding-interview-university,0,,,Creative Commons Attribution Share Alike 4.0 International,个人用户
21737465,sindresorhus/awesome,0,,Shell,Creative Commons Zero v1.0 Universal,个人用户
85077558,kamranahmedse/developer-roadmap,0,,TypeScript,Other,个人用户
83222441,donnemartin/system-design-primer,0,,Python,Other,个人用户
14440270,getify/You-Dont-Know-JS,0,,,Other,个人用户
121395510,CyC2018/CS-Notes,0,,Java,,个人用户
126577260,trekhleb/javascript-algorithms,0,,JavaScript,MIT License,个人用户
21289110,vinta/awesome-python,0,,Python,Other,个人用户
132750724,danistefanovic/build-your-own-x,0,,,,个人用户
132464395,Snailclimb/JavaGuide,0,,Java,Apache License 2.0,个人用户
123458551,jackfrued/Python-100-Days,0,,Python,,个人用户
35955666,jlevy/the-art-of-command-line,0,,,,个人用户
241576270,labuladong/fucking-algorithm,0,,Markdown,,个人用户
14098069,justjavac/free-programming-books-zh_CN,0,,,GNU General Public License v3.0,个人用户
21540759,avelino/awesome-go,0,,Go,MIT License,个人用户
576201,mrdoob/three.js,0,,JavaScript,MIT License,个人用户
138393139,trimstray/the-book-of-secret-knowledge,0,,,MIT License,个人用户
62607227,yangshun/tech-interview-handbook,0,,TypeScript,MIT License,个人用户
103633984,goldbergyoni/nodebestpractices,0,,JavaScript,Creative Commons Attribution Share Alike 4.0 International,个人用户
88464704,PanJiaChen/vue-element-admin,0,,Vue,MIT License,个人用户
22790488,iluwatar/java-design-patterns,0,,Java,Other,个人用户
74791366,ryanmcdermott/clean-code-javascript,0,,JavaScript,MIT License,个人用户
33614304,nvbn/thefuck,0,,Python,MIT License,个人用户
160640094,MisterBooo/LeetCodeAnimation,0,,Java,,个人用户
26500787,tonsky/FiraCode,0,,Clojure,SIL Open Font License 1.1,个人用户
14747598,typicode/json-server,0,,JavaScript,MIT License,个人用户
32484381,ripienaar/free-for-dev,0,,HTML,,个人用户
107111421,thedaviddias/Front-End-Checklist,0,,,Creative Commons Zero v1.0 Universal,个人用户
48378947,fatedier/frp,0,,Go,Apache License 2.0,个人用户
58028038,521xueweihan/HelloGitHub,0,,Python,,个人用户
1861458,hakimel/reveal.js,0,,JavaScript,MIT License,个人用户
127988011,macrozheng/mall,0,,Java,Apache License 2.0,个人用户
172562475,florinpop17/app-ideas,0,,,MIT License,个人用户
81975372,kdn251/interviews,0,,Java,MIT License,个人用户
4311796,adam-p/markdown-here,0,,JavaScript,MIT License,个人用户
128398636,xingshaocheng/architect-awesome,0,,,,个人用户
21872392,josephmisiti/awesome-machine-learning,0,,Python,Other,个人用户
63539055,jaywcjlove/awesome-mac,0,,JavaScript,Creative Commons Zero v1.0 Universal,个人用户
88011908,tuvtran/project-based-learning,0,,,MIT License,个人用户
120538304,kelseyhightower/nocode,0,,Dockerfile,Apache License 2.0,个人用户
18408635,chrislgarry/Apollo-11,0,,Assembly,Other,个人用户
206462776,kon9chunkit/GitHub-Chinese-Top-Charts,0,,Java,Other,个人用户
147350463,leonardomso/33-js-concepts,0,,JavaScript,MIT License,个人用户
22670857,enaqx/awesome-react,0,,,,个人用户
160919119,tiangolo/fastapi,0,,Python,MIT License,个人用户
191529732,lydiahallie/javascript-questions,0,,,MIT License,个人用户
83999700,sdmg15/Best-websites-a-programmer-should-visit,0,,,MIT License,个人用户
127407957,azl397985856/leetcode,0,,JavaScript,Other,个人用户
243950408,Anduin2017/HowToCook,0,,Shell,The Unlicense,个人用户
1700621,necolas/normalize.css,0,,CSS,MIT License,个人用户
278335273,anuraghazra/github-readme-stats,0,,JavaScript,MIT License,个人用户
13807606,junegunn/fzf,0,,Go,MIT License,个人用户
32689863,3b1b/manim,0,,Python,Other,个人用户
138839979,scutan90/DeepLearning-500-questions,0,,JavaScript,GNU General Public License v3.0,个人用户
21737266,sindresorhus/awesome-nodejs,0,,,Creative Commons Zero v1.0 Universal,个人用户
71583602,Developer-Y/cs-video-courses,0,,,,个人用户
83844720,ageitgey/face_recognition,0,,Python,MIT License,个人用户
261787758,bradtraversy/design-resources-for-developers,0,,,MIT License,个人用户
44882201,MunGell/awesome-for-beginners,0,,,,个人用户
50264296,jgthms/bulma,0,,CSS,MIT License,个人用户
5483330,soimort/you-get,0,,Python,Other,个人用户
46629305,NARKOZ/hacker-scripts,0,,JavaScript,,个人用户
145553672,fighting41love/funNLP,0,,Python,,个人用户
90528830,Solido/awesome-flutter,0,,Dart,,个人用户
40416236,minimaxir/big-list-of-naughty-strings,0,,Python,MIT License,个人用户
22067521,ocornut/imgui,0,,C++,MIT License,个人用户
71220757,swisskyrepo/PayloadsAllTheThings,0,,Python,MIT License,个人用户
3482588,danielmiessler/SecLists,0,,PHP,MIT License,个人用户
26689598,prakhar1989/awesome-courses,0,,,,个人用户
28428729,wasabeef/awesome-android-ui,0,,,MIT License,个人用户
246335987,ventoy/Ventoy,0,,C,GNU General Public License v3.0,个人用户
53809090,juliangarnier/anime,0,,JavaScript,MIT License,个人用户
98029592,ziishaned/learn-regex,0,,,MIT License,个人用户
