repo_id,repo_name,org_id,org_login,repo_language,repo_license
60493101,jwasham/coding-interview-university,0,,,other
132750724,codecrafters-io/build-your-own-x,58904235,codecrafters-io,,other
121395510,CyC2018/CS-Notes,0,,Java,other
132750724,danistefanovic/build-your-own-x,0,,,other
123458551,jackfrued/Python-100-Days,0,,Python,other
35955666,jlevy/the-art-of-command-line,0,,,other
1039520,ytdl-org/youtube-dl,48381040,ytdl-org,Python,other
241576270,labuladong/fucking-algorithm,0,,Markdown,other
943149,d3/d3,1562726,d3,JavaScript,other
103633984,goldbergyoni/nodebestpractices,0,,JavaScript,other
1863329,laravel/laravel,958072,laravel,PHP,other
160640094,MisterBooo/LeetCodeAnimation,0,,Java,other
151834062,doocs/advanced-java,43716716,doocs,Java,other
26500787,tonsky/FiraCode,0,,Clojure,other
15204860,papers-we-love/papers-we-love,6187757,papers-we-love,Shell,other
101296881,mtdvio/every-programmer-should-know,33053074,mtdvio,,other
32484381,ripienaar/free-for-dev,0,,HTML,other
58028038,521xueweihan/HelloGitHub,0,,Python,other
157616880,iptv-org/iptv,55937028,iptv-org,JavaScript,other
1334369,resume/resume.github.com,602612,resume,JavaScript,other
128398636,xingshaocheng/architect-awesome,0,,,other
22670857,enaqx/awesome-react,0,,,other
243950408,Anduin2017/HowToCook,0,,Shell,other
47018239,DopplerHQ/awesome-interview-questions,34022344,DopplerHQ,,other
14712850,syncthing/syncthing,7628018,syncthing,Go,other
71583602,Developer-Y/cs-video-courses,0,,,other
44882201,MunGell/awesome-for-beginners,0,,,other
46629305,NARKOZ/hacker-scripts,0,,JavaScript,other
145553672,fighting41love/funNLP,0,,Python,other
90528830,Solido/awesome-flutter,0,,Dart,other
13233158,obsproject/obs-studio,7725691,obsproject,C,other
26689598,prakhar1989/awesome-courses,0,,,other
3432266,JetBrains/kotlin,878437,JetBrains,Kotlin,other
22119721,k88hudson/git-flight-rules,0,,,other
77189043,bailicangdu/vue2-elm,0,,Vue,other
47018239,MaximAbramchuck/awesome-interview-questions,0,,,other
357728969,oven-sh/bun,108928776,oven-sh,Zig,other
307260205,yt-dlp/yt-dlp,79589310,yt-dlp,Python,other
153697551,Fndroid/clash_for_windows_pkg,0,,,other
10865436,dypsilon/frontend-dev-bookmarks,0,,,other
56969116,ngosang/trackerslist,0,,,other
14194174,alex/what-happens-when,0,,,other
17728164,hashicorp/terraform,761456,hashicorp,Go,other
54544023,Alvin9999/new-pac,0,,,other
82227585,kamranahmedse/design-patterns-for-humans,0,,,other
53631945,BurntSushi/ripgrep,0,,Rust,other
4578002,faif/python-patterns,0,,Python,other
154950925,streamich/react-use,0,,TypeScript,other
211666,nodejs/node-v0.x-archive,9950313,nodejs,,other
53238813,Homebrew/brew,1503512,Homebrew,Ruby,other
228016443,youngyangyang04/leetcode-master,0,,Shell,other
70905478,floodsung/Deep-Learning-Papers-Reading-Roadmap,0,,Python,other
4086616,shadowsocks/shadowsocks,3006190,shadowsocks,Python,other
63266213,open-guides/og-aws,17152571,open-guides,Shell,other
32948863,jondot/awesome-react-native,0,,JavaScript,other
101684374,satwikkansal/wtfpython,0,,Python,other
178092134,formulahendry/955.WLB,0,,,other
8989842,unknwon/the-way-to-go_ZH_CN,0,,Go,other
45512989,xitu/gold-miner,10482599,xitu,,other
178991158,starship/starship,49654870,starship,Rust,other
191113739,0voice/interview_internal_reference,43104160,0voice,Python,other
29290473,XX-net/XX-Net,10395542,XX-net,Python,other
