repo_id,repo_name,org_id,org_login,repo_language,repo_license
21737465,sindresorhus/awesome,0,,Shell,Creative Commons Zero v1.0 Universal
1062897,github/gitignore,9919,github,,Creative Commons Zero v1.0 Universal
112507086,30-seconds/30-seconds-of-code,43479428,30-seconds,JavaScript,Creative Commons Zero v1.0 Universal
107111421,thedaviddias/Front-End-Checklist,0,,,Creative Commons Zero v1.0 Universal
55076063,Hack-with-Github/Awesome-Hacking,18143746,Hack-with-Github,,Creative Commons Zero v1.0 Universal
63539055,jaywcjlove/awesome-mac,0,,JavaScript,Creative Commons Zero v1.0 Universal
21737266,sindresorhus/awesome-nodejs,0,,,Creative Commons Zero v1.0 Universal
61893399,brillout/awesome-react-components,0,,,Creative Commons Zero v1.0 Universal
109343098,serhii-londar/open-source-mac-os-apps,0,,Swift,Creative Commons Zero v1.0 Universal
21938243,rust-unofficial/awesome-rust,20820960,rust-unofficial,Rust,Creative Commons Zero v1.0 Universal
21552971,alebcay/awesome-shell,0,,,Creative Commons Zero v1.0 Universal
34453060,sindresorhus/awesome-electron,0,,,Creative Commons Zero v1.0 Universal
44150497,remoteintech/remote-jobs,31714327,remoteintech,JavaScript,Creative Commons Zero v1.0 Universal
41592744,AllThingsSmitty/css-protips,0,,,Creative Commons Zero v1.0 Universal
21696302,matteocrippa/awesome-swift,0,,Swift,Creative Commons Zero v1.0 Universal
51270739,viatsko/awesome-vscode,0,,JavaScript,Creative Commons Zero v1.0 Universal
152327866,Igglybuff/awesome-piracy,0,,HTML,Creative Commons Zero v1.0 Universal
60027534,Awesome-Windows/Awesome,19653660,Awesome-Windows,,Creative Commons Zero v1.0 Universal
153500249,sdras/awesome-actions,0,,,Creative Commons Zero v1.0 Universal
240215314,docker/awesome-compose,5429470,docker,HTML,Creative Commons Zero v1.0 Universal
67687706,kdeldycke/awesome-falsehood,0,,,Creative Commons Zero v1.0 Universal
